Date/Time (EST),Number of Records Compiled,monthly AVG of 2m Average Daily Temperature (F),monthly MAX of 10m Average Daily Temperature (F),monthly MIN of 10m Average Daily Temperature (F),monthly AVG of 10m Average Daily Temperature (F),monthly AVG of 2m Daily max air temperature (F),monthly MAX of 10m Daily max air temperature (F),monthly MIN of 10m Daily max air temperature (F),monthly AVG of 10m Daily max air temperature (F),monthly AVG of 2m Daily Min Temperature (F),monthly MAX of 10m Daily Min Temperature (F),monthly MIN of 10m Daily Min Temperature (F),monthly AVG of 10m Daily Min Temperature (F),2m Calculated Maximum Heat Index (F),2m Heating Degree Days (F),2m Cooling Degree Days (F),monthly AVG of 2m Relative Humidity Daily Avg (percent),monthly AVG of 2m Daily max Relative Humidity (percent),monthly AVG of 2m Daily min Relative Humidity (percent),monthly SUM of 1m Daily Precipitation (in),monthly AVG of  Soil Temperature Daily Mean (F),monthly AVG of  Soil Temperature Daily Max (F),monthly AVG of  Soil Temperature Daily Min (F),monthly AVG of  Soil Moisture Daily Mean (m3m3),monthly AVG of  Soil Moisture Daily Max (m3m3),monthly AVG of  Soil Moisture Daily Min (m3m3)
Nov 2018,30 (100%),52,,,,62,,,,43.4,,,,84,380.3,11.8,75,91,53,4.15,55.4,58.8,52.2,0.2911999975641569,0.3095000003774961,0.2807999993364016
Dec 2018,31 (100%),49.1,,,,57.7,,,,40.4,,,,76.3,493.1,1.2,76,93,52,6.89,50.1,53.6,47,0.34699999805419673,0.37964516205172383,0.3290322596027005
Jan 2019,31 (100%),44.9,,,,54.5,,,,35.7,,,,77,619.4,3.1,68,89,46,3.01,47.5,51.4,44.1,0.33651613035509664,0.35183870984661963,0.32464516162872314
Feb 2019,28 (100%),50.6,,,,61.8,,,,40.1,,,,81.1,395.4,3.2,69,88,46,2.45,50.4,55.8,45.8,0.3158214283840997,0.32614285605294363,0.3070714314069067
Mar 2019,31 (100%),51.9,63.5,45.9,55.5,62.9,75.7,56.1,66.7,41,50.9,34.5,43.1,80.6,407.6,4.9,64,89,37,3.33,53.4,60.8,47.2,0.31100000104596537,0.331516130316642,0.2994838741517836
Apr 2019,30 (100%),64.1,74.5,40.1,64.1,74.6,86.5,43.5,74.3,54,68.2,33.6,54.4,86.6,105.8,86.6,66,87,41,4.71,65.1,73.3,58.3,0.30753333419561385,0.3280666674176852,0.29330000281333923
May 2019,31 (100%),75.3,85.5,60.6,75.2,87.1,97,70.2,86.4,64.4,74.5,45.9,64.9,99.1,9.2,344.7,65,90,36,2,79.5,88.2,72.7,0.14699999940010808,0.15774193550309829,0.14145161379729548
Jun 2019,30 (100%),76.9,85.5,66.9,76.8,87.1,96.8,71.1,86.3,67.2,73.8,54,67.8,99.7,0,366.2,70,92,44,4.27,81.1,87.8,76.1,0.17680000116427738,0.1884333332379659,0.1697666662434737
Jul 2019,31 (100%),80.6,86.4,73.4,80.6,92.2,98.2,81.7,91.7,71.1,77.2,63,71.5,105.4,0,518,71,92,42,5.52,84.4,90.8,79.7,0.20745161368000892,0.2258709683533638,0.19832257974532344
Aug 2019,31 (100%),77.9,82.4,69.3,77.8,88.8,94.6,73.6,88.4,69.7,73.9,61.5,70,104.1,0,443.7,77,94,49,10.6,80.2,85.1,76.7,0.2831612907109722,0.3144193556039564,0.2691612902187532
Sep 2019,30 (100%),75.8,81.3,64.6,75.9,86.8,93.7,73.2,86.5,66.8,72.5,55,67.5,100.6,0,357.1,76,94,49,8.69,77.6,82.7,73.9,0.25056666682163875,0.2619999994834264,0.23993333478768666
Oct 2019,31 (100%),66.9,82.6,53.2,67,77.7,97.9,64.8,77.4,57.4,72.1,42.6,57.9,100.2,52.9,133.6,77,92,52,3.11,70.6,75.9,66.5,0.23577419307924086,0.24474193492243368,0.22987096684594308
Nov 2019,30 (100%),49.4,61.5,32.5,49.5,60.3,74.7,40.1,60.1,39.7,55.9,27.7,40,77.2,448.7,0.3,73,91,49,3,53.3,57.7,49.4,0.2891999989748001,0.29520000020662945,0.28156666656335194
Dec 2019,31 (100%),49.4,66.4,34,49.7,59.3,75.9,43.2,59.2,40,58.3,25,40.6,78.1,476.4,2.2,74,90,51,4.22,50,54,46.4,0.3165483859277541,0.3299354814714001,0.3041935476564592
Jan 2020,31 (100%),49.6,67.5,31.1,49.4,59.5,78.8,37.6,59.2,40.1,64.4,26.4,40.9,80.6,478.8,8.9,70,89,47,4.8,51.1,54.7,47.6,0.31287096488860344,0.3268387096543466,0.3010645181901993
Feb 2020,29 (100%),50.8,69.8,31.3,51,60.8,80.8,34.2,60.6,41.1,61.3,23.4,41.8,82.4,416.7,11.1,69,89,45,4.74,52.2,56.1,48.5,0.3318275860671339,0.347931032550746,0.31948275607207727
Mar 2020,31 (100%),58.7,76.6,43.2,58.8,68.4,88,52.2,68.1,49.2,67.3,26.2,49.7,89.3,239.1,49.1,69,90,45,3.21,58.8,63.9,54.7,0.29861290224136844,0.31141935529247405,0.29122580924341757
Apr 2020,30 (100%),61.1,72.7,48.2,61.3,73,84.4,55.9,72.7,47.9,64.8,34.2,49.1,83.9,174.2,40.7,64,90,36,4.16,63.4,71,57.1,0.28810000071922937,0.3037333329518636,0.2774666666984558
May 2020,28 (90.3%),66.4,76.8,53.2,66.4,76,86.5,62.2,75.4,56.3,70,40.1,56.6,91.1,76.2,110.2,69,90,47,11.11,70.2,78.4,63.6,0.30067857301660944,0.32589285341756685,0.2831071386379855
