Date/Time (EST),Number of Records Compiled,monthly AVG of 2m Average Daily Temperature (F),monthly AVG of 2m Daily max air temperature (F),monthly AVG of 2m Daily Min Temperature (F),2m Heating Degree Days (F),2m Cooling Degree Days (F),monthly AVG of 2m Relative Humidity Daily Avg (percent),monthly AVG of 2m Daily max Relative Humidity (percent),monthly AVG of 2m Daily min Relative Humidity (percent),monthly SUM of 1m Daily Precipitation (in),monthly AVG of  Soil Temperature Daily Mean (F),monthly AVG of  Soil Temperature Daily Max (F),monthly AVG of  Soil Temperature Daily Min (F),monthly AVG of  Soil Moisture Daily Mean (m3m3),monthly AVG of  Soil Moisture Daily Max (m3m3),monthly AVG of  Soil Moisture Daily Min (m3m3)
Dec 2018,31 (100%),48.7,57.4,39.6,509.9,0.9,75,91,52,5.63,52.1,54.6,49.4,0.3187741944866796,0.3368709664190969,0.3063548380328763
Jan 2019,31 (100%),44.3,53.7,34.9,641.5,2.2,67,87,45,2.48,49.1,51.8,46.4,0.29658064822996816,0.3045806432923963,0.2882903218269348
Feb 2019,28 (100%),50.6,61.6,39.9,401.9,5,68,85,45,3.01,52,55.3,48.8,0.2903214299253055,0.29928571571196827,0.2799285724759102
Mar 2019,31 (100%),51.4,62.3,40.5,424.3,4.8,63,87,37,3.49,53.8,58.8,49.3,0.28880645238584085,0.30090322417597615,0.28003225691856876
Apr 2019,30 (100%),64,74.5,53.5,106.6,78.7,65,86,42,3.19,65.9,73.1,60.3,0.270100000500679,0.27916666567325593,0.2596333344777425
May 2019,31 (100%),75.2,87.3,64,9,340.6,63,88,35,1.69,78.9,87,72.6,0.09948387021018613,0.10203225718390557,0.09706451551568124
Jun 2019,30 (100%),76.5,86.7,67.5,0,364.1,69,89,44,5.22,80.4,86.8,75.4,0.21219999939203263,0.2336000010371208,0.1967000000178814
Jul 2019,31 (100%),80.9,92.5,71.4,0,528,69,89,42,4.71,85.4,92.4,79.7,0.2034516123033339,0.22506451510613965,0.1929354835902491
Aug 2019,31 (100%),77.5,88.2,70,0,438.7,76,91,51,4.59,81.8,87.2,77.9,0.23241935430034513,0.2537741930254044,0.2196774184703827
Sep 2019,30 (100%),75.4,86.2,66.8,0,346,76,91,51,2.2,78.4,82.6,75,0.21469999824961025,0.23283333281675975,0.20046666686733564
Oct 2019,31 (100%),66.6,77.4,57.1,48.1,119.7,75,90,52,2.17,71,75.7,67.2,0.13196774307758577,0.13506451777873502,0.12935484032477101
Nov 2019,30 (100%),49.2,59.8,39.3,460.5,0,72,89,50,3.78,53.9,58.2,50.1,0.22700000057617822,0.23276666601498922,0.22066666583220165
Dec 2019,31 (100%),49.2,59.4,39.6,480.2,1.3,73,87,52,2.34,50.1,54.3,46.3,0.26622580712841404,0.26941935573854753,0.2630645161674869
Jan 2020,31 (100%),49.3,59.3,39.7,486.7,7.8,68,85,48,3.3,50.6,54.7,46.9,0.27354838578931745,0.28503226080248434,0.2661935494792077
Feb 2020,29 (100%),50.9,60.3,41.7,414.5,10.4,68,85,47,6.94,51.6,56.2,47.6,0.31555172492717876,0.32910344929530705,0.30444827778586026
Mar 2020,31 (100%),58.1,67.8,48.9,253.9,49.4,69,91,45,3.54,58.1,63.2,53.7,0.2836129069328308,0.29625806500834806,0.2741290330886841
Apr 2020,30 (100%),60.2,71.4,48.6,181.3,32.8,66,92,38,4.77,63.9,70.7,58.2,0.2875666672984759,0.3039333333571752,0.27440000176429746
May 2020,28 (90.3%),65.7,75.1,56.1,78.4,96.8,71,91,48,5.76,70.8,78.1,65,0.2948214294654982,0.3100714311003685,0.2797500022820064
